id	domain	source_concept	primitive	constraint_shell
M-001	Mathematics	Derivative	Move a tiny amount; see how much the other thing moves	Limit must exist or some generalized replacement is needed
M-002	Mathematics	Second derivative	Ask whether the rate of change itself is speeding up or slowing down	Requires additional smoothness/generalized interpretation
M-003	Mathematics	Integral	Cut into tiny pieces and add their contributions	Measure, orientation, convergence determine what “add” means
M-004	Mathematics	Change of variables	Describe the same thing using different coordinates because the calculation becomes easier	Transformation must preserve whatever structure matters
M-005	Mathematics	Projection	Keep the component pointing in allowed/useful directions; throw away the rest	Requires a geometry/notion of orthogonality or a generalized projection
M-006	Mathematics	Duality	Instead of manipulating the thing, manipulate tests that act on the thing	Depends on pairing and conditions under which dual problem is equivalent
M-007	Mathematics	Nullspace	Find changes that the measurement cannot see at all	Depends on the operator defining visibility
M-008	Mathematics	Quotient	Declare differences irrelevant and treat objects differing only in those ways as the same	Equivalence relation must respect subsequent operations
M-009	Mathematics	Fixed point	Find something that stays unchanged after applying the rule	Existence/uniqueness requires structure such as compactness/contraction/etc.
M-010	Mathematics	Contraction	Repeatedly apply a rule that keeps bringing possibilities closer together	Distance must shrink sufficiently
M-011	Mathematics	Convexity	Mixing two allowed things does not leave the allowed region	Linear mixture structure required
M-012	Mathematics	Lagrange multiplier	If movement is constrained, measure the cost of relaxing each constraint	Smoothness/constraint qualification matter
M-013	Mathematics	Fourier decomposition	Build a complicated pattern from simple repeating patterns	Linear superposition and basis/completeness assumptions
M-014	Mathematics	Convolution	Output at one point is a weighted accumulation of nearby/past inputs	Translation structure or appropriate generalized kernel
M-015	Mathematics	Green function	Learn the answer to one tiny impulse, then combine impulses to solve larger forcing	Primarily linear operator setting
M-016	Mathematics	Eigenvector	Find a direction that changes only in size, not direction, under an operation	Linear operator or nonlinear analogue
M-017	Mathematics	Singular value decomposition	Find input directions ranked by how strongly an operator transmits them	Linear map plus metric structure
M-018	Mathematics	Compactness	Prevent possibilities from “escaping forever,” so limiting arguments actually land somewhere	Depends on topology
M-019	Mathematics	Intermediate value	Continuous movement from below to above must cross the level	Continuity and connected interval-like domain
M-020	Mathematics	Implicit function	If equations tie variables together, sometimes one can locally solve some variables using the others	Jacobian nondegeneracy/local regularity
M-021	Mathematics	Inverse function	If nearby inputs never fold together, locally undo the transformation	Local invertibility conditions
M-022	Mathematics	Taylor expansion	Approximate a complicated local shape using value + slope + curvature + higher changes	Smoothness and remainder control
M-023	Mathematics	Asymptotic expansion	Ignore details that become negligible in a specified limit	Must specify limit and relative scale
M-024	Mathematics	Perturbation	Start from something solvable, make a small change, track how the answer moves	“Small” must remain meaningful; singular perturbations can break it
M-025	Mathematics	Boundary layer	A tiny region can behave on a completely different scale from the bulk	Multiple scales/singular perturbation
M-026	Mathematics	Homogenization	Replace many tiny variations by one effective large-scale rule	Scale separation/ergodicity or structural assumptions
M-027	Mathematics	Variational principle	Instead of directly solving equations, identify the configuration making some quantity best/stationary	Correct functional and admissible space required
M-028	Mathematics	Maximum principle	Extremes cannot occur arbitrarily if local averaging/differential constraints hold	PDE/order structure
M-029	Mathematics	Comparison principle	If one object starts below another and the dynamics preserve order, it stays below	Monotonicity/order-preserving evolution
M-030	Mathematics	Topological invariant	Change shape continuously while keeping a property that cannot disappear under allowed transformations	Depends entirely on transformation class
M-031	Mathematics	Group action	Apply allowed moves to objects while preserving move-composition rules	Algebraic closure/identity/inverses
M-032	Mathematics	Orbit	Collect every place one object can reach under allowed moves	Depends on action
M-033	Mathematics	Stabilizer	Find moves that leave a chosen object unchanged	Group action structure
M-034	Mathematics	Coset	Shift one equivalence class by an allowed operation	Subgroup structure
M-035	Mathematics	Homomorphism	Translate one operation system into another while preserving how operations combine	Structure-preserving map
M-036	Mathematics	Kernel of homomorphism	Find distinctions erased by the translation	Algebraic compatibility
M-037	Mathematics	Exact sequence	Track what is lost, inherited, or newly created as structures map into each other	Exactness condition
M-038	Mathematics	Tensor product	Build a joint object that keeps bilinear interactions explicit	Universal bilinear construction
M-039	Mathematics	Exterior product	Combine directions while automatically killing repeated directions	Antisymmetry
M-040	Mathematics	Determinant	Measure how a linear transformation scales oriented volume	Finite-dimensional linear structure
M-041	Mathematics	Rank	Count how many independent directions survive a transformation	Linear independence
M-042	Mathematics	Linear independence	Ask whether one object can be built from the others	Vector-space structure
M-043	Mathematics	Basis	Find a smallest set of building blocks from which every object can be assembled uniquely	Spanning + independence
M-044	Mathematics	Sparse representation	Explain an object using only a few building blocks	Choice of dictionary/basis
M-045	Mathematics	Compressed sensing	Recover a sparse object from fewer measurements than naive dimension suggests	Sparsity + incoherence/RIP-like conditions
M-046	Mathematics	Graph cut	Split a network by removing connections between groups	Graph structure
M-047	Mathematics	Max flow	Push as much stuff as possible through a capacity-limited network	Capacity conservation
M-048	Mathematics	Min-cut duality	Maximum transferable flow equals cheapest blocking bottleneck	Network-flow assumptions
