im_id	canonical_primitive	family_status	source_ids	source_mapping_status	source_concepts	constraint_shells_exact_if_mapped	nearest_existing	why_distinct	primitive_graph_signature_v1	semantic_tags	state_types	time_structure	information_structure	intervention_role	guarantee_type	ontology_annotation_status	source_evidence_raw	historical_shell_note	source_mapping_confidence	source_domain_span
IM-001	LOCAL INFEASIBILITY ≠ JOINT INFEASIBILITY	pre_saturation_registry	M-577; M-578; E-857; E-852; M-535	rehydrated_from_original_interaction_map	M-577:Gomory–Hu tree | M-578:Cut-equivalent tree | E-857:Queue gridlock resolution | E-852:Multilateral offset cycle | M-535:Birkhoff–von Neumann decomposition	M-577:Undirected capacities | M-578:Cut structure | E-857:Circular obligations | E-852:Payment network | M-535:Nonnegative row/column sums			structural_relation	optimization_constraints	feasible-set	static/unspecified	unspecified	mechanism/structural	local	automatic first-pass from canonical family text; manual audit before hard exclusion	E-857 queue gridlock resolution | E-852 multilateral offset cycle | M-535 Birkhoff–von Neumann decomposition | M-577/578 cut-equivalent representations | daha eski circulation/flow kayıtları		HIGH_WITH_QUALIFIED_RANGE_ANCHORS	E;M
IM-002	INDIVIDUALLY LOSSY / JOINTLY SUFFICIENT	pre_saturation_registry	M-741; M-742; M-743; M-744; M-745; M-746; M-747; M-748; M-749; M-750; S-661; S-662; S-663; S-664; S-665; S-666; S-667; S-668; S-669; S-670; S-671; S-672; S-673; S-674; M-889; M-890; M-892	rehydrated_from_original_interaction_map	M-741:Filtered chain complex | M-742:Associated graded object | M-743:Spectral sequence | M-744:Higher-page differential | M-745:Exact couple | M-746:Page stabilization | M-747:$E_\infty$ object | M-748:Extension problem | M-749:Double complex | M-750:Total complex | S-661:Deterministic record linkage | S-662:Probabilistic record linkage | S-663:Fellegi–Sunter linkage | S-664:Comparison vector | S-665:m/u probabilities | S-666:Match / clerical / nonmatch triage | S-667:Blocking | S-668:Sorted-neighborhood linkage | S-669:Entity-resolution clustering | S-670:One-to-one linkage constraint | S-671:Bayesian record linkage | S-672:Linkage-uncertainty propagation | S-673:Deduplication | S-674:Fuzzy string comparison | M-889:Analysis filter bank | M-890:Synthesis filter bank | M-892:Perfect reconstruction	M-741:Chain complex + filtration | M-742:Nested structure | M-743:Filtered/graded complex | M-744:Bigraded structure | M-745:Exact diagram | M-746:Spectral sequence | M-747:Convergent spectral sequence | M-748:Filtered reconstruction | M-749:Anticommuting differentials | M-750:Double complex | S-661:High-quality identifiers | S-662:Noisy identifiers | S-663:Pair classification | S-664:Record pairs | S-665:Fellegi–Sunter model | S-666:Decision thresholds | S-667:Large files | S-668:Approximate ordering | S-669:Multi-record identity | S-670:Bipartite identity constraint | S-671:Probabilistic identity model | S-672:Two-stage analysis | S-673:Within-file duplicates | S-674:Noisy text fields | M-889:Discrete wavelet transform | M-890:Perfect reconstruction | M-892:Complementary channels			structural_relation	optimization_constraints	generic	static/unspecified	lossy/garbled	mechanism/structural	certificate/exact	automatic first-pass from canonical family text; manual audit before hard exclusion	M-889 analysis filter bank | M-890 synthesis filter bank | M-892 perfect reconstruction | M-741–750 filtered complexes/spectral sequences | S-661–674 record linkage fragments | daha eski projection/nullspace records		HIGH_WITH_QUALIFIED_RANGE_ANCHORS	M;S
IM-003	OUTPUT RESHAPES ITS GENERATOR	pre_saturation_registry	P-793; P-794; P-795; P-806; P-807; P-880; P-860	rehydrated_from_original_interaction_map	P-793:Lorentz-force backreaction | P-794:Dynamo saturation | P-795:Alpha quenching | P-806:Gain clamping | P-807:Gain saturation | P-880:Degradation-area feedback | P-860:Surface-reconstruction feedback	P-793:Nonlinear MHD | P-794:Nonlinear feedback | P-795:Mean-field dynamo | P-806:Saturating laser | P-807:Finite excited population | P-880:Coupled degradation | P-860:Dynamic catalyst surface			structural_relation	general_mechanism	generic	static/unspecified	endogenous-feedback	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-793 Lorentz backreaction | P-794 dynamo saturation | P-795 alpha quenching | P-806 gain clamping | P-807 gain saturation | P-880 degradation-area feedback | P-860 surface reconstruction feedback		HIGH	P
IM-004	FLOW RESHAPES ITS FUTURE CONDUIT	pre_saturation_registry	P-764; P-765; P-876; P-877; P-967; P-980	rehydrated_from_original_interaction_map	P-764:Reactive-infiltration feedback | P-765:Wormhole formation | P-876:Protrusion current focusing | P-877:Dendritic growth | P-967:Conductive-filament bridging | P-980:Endurance degradation by pathway evolution	P-764:Dissolution + advection | P-765:Unstable reactive infiltration | P-876:Nonuniform electrodeposition | P-877:Metal plating | P-967:Filamentary switch | P-980:Repeated cycling			structural_relation	dynamics_memory;sequential_time	dynamic-state/path;resource/flow	sequential;dynamic	endogenous-feedback	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-764 reactive-infiltration feedback | P-765 wormhole formation | P-876 protrusion current focusing | P-877 dendritic growth | P-967 conductive-filament bridging | P-980 pathway evolution		HIGH	P
IM-005	CONSTRAINT ACTIVATION CHANGES CONFIGURATION SPACE	pre_saturation_registry	P-675; P-679; P-680; M-787; E-933	rehydrated_from_original_interaction_map	P-675:Shear jamming | P-679:Contact-network percolation under stress | P-680:Constraint-rheology mechanism | M-787:M-convex function | E-933:Nonnegative inventory constraint	P-675:Dense frictional particles | P-679:Dense suspension/granular material | P-680:Dense particulate system | M-787:Conserved integer resource | E-933:Physical commodity			structural_relation	optimization_constraints	feasible-set	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-675 shear jamming | P-679 contact-network percolation | P-680 constraint rheology | M-787 M-convex fixed-total exchange | compositional S-521ff | E-933 nonnegative inventory boundary		HIGH_WITH_QUALIFIED_RANGE_ANCHORS	E;M;P
IM-006	EASY PROXY CREATES MISMATCH RISK	pre_saturation_registry	S-943; S-944; S-945; S-946; S-947; S-948; S-949; S-950; S-951; S-952; S-953; S-954; S-955; S-956; S-957; S-958; S-959; S-960; S-961; S-967; E-989; E-991; E-1000; E-885	rehydrated_from_original_interaction_map	S-943:Common auxiliary bridge | S-944:Sample-membership propensity | S-945:Inverse-odds integration weighting | S-946:Covariate-balancing integration | S-947:Probability-reference calibration | S-948:Mass imputation | S-949:Nonparametric mass imputation | S-950:Outcome-model transportability | S-951:Selection ignorability for integration | S-952:Source-overlap/positivity | S-953:Doubly robust data integration | S-954:Augmented integration estimator | S-955:Selection-model misspecification sensitivity | S-956:Outcome-model misspecification sensitivity | S-957:Benchmark-variable validation | S-958:Integration effective sample size | S-959:Design + model variance propagation | S-960:Reference-sample bottleneck | S-961:Imperfect reference standard | S-967:Imperfect-reference bias | E-989:Index insurance | E-991:Basis risk | E-1000:Verification–basis-risk tradeoff | E-885:Letter of credit	S-943:Shared covariates | S-944:Data-source selection | S-945:Estimated source propensity | S-946:Shared auxiliary variables | S-947:Reference survey | S-948:X$ modelini öğren; probability sample’daki units’in $Y$’lerini predict/impute et \| Outcome transportability | S-949:Flexible outcome relation | S-950:X$ relation nonprobability source’dan probability-target population’a taşınabiliyor varsay \| Cross-source stability | S-951:Nonprobability selection | S-952:Support overlap | S-953:Two nuisance models | S-954:Probability + nonprobability sources | S-955:Unknown selection | S-956:X$ model target’a taşınmıyorsa mass-imputation bias’ını quantify et \| Model transport failure | S-957:Observable benchmark | S-958:Unequal integration weights | S-959:Hybrid inference | S-960:Data fusion | S-961:Diagnostic evaluation | S-967:Misclassified reference | E-989:Weather/area/index risk | E-991:Proxy-based insurance | E-1000:Insurance information architecture | E-885:Bank-guaranteed documentary trade			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-961 imperfect reference standard | S-967 imperfect-reference bias | E-989 index insurance | E-991 basis risk | E-1000 verification–basis-risk tradeoff | E-885 letter of credit / documentary compliance | S-943–960 data-source anchoring		HIGH	E;S
IM-007	VALIDATOR IS NOT TRUTH ORACLE	pre_saturation_registry	S-961; S-962; S-963; S-964; S-965; S-966; S-967; S-968; S-969; S-970; S-971; S-972; S-973; S-974; S-975; S-976; S-977; S-978; S-979; S-980; S-661; S-662; S-663; S-664; S-665; S-666; S-667; S-668; S-669; S-670; S-671; S-672; S-673; S-674; S-941; S-942; S-943; S-944; S-945; S-946; S-947; S-948; S-949; S-950; S-951; S-952; S-953; S-954; S-955; S-956; S-957; S-958; S-959; S-960	rehydrated_from_original_interaction_map	S-961:Imperfect reference standard | S-962:No-gold-standard latent disease | S-963:Hui–Walter identification mechanism | S-964:Conditional test independence | S-965:Conditional test dependence | S-966:Local dependence parameter | S-967:Imperfect-reference bias | S-968:Partial verification bias | S-969:Differential verification | S-970:Discrepant-analysis bias | S-971:Composite reference standard | S-972:Latent prevalence–accuracy joint estimation | S-973:Multiple-population prevalence leverage | S-974:Bayesian no-gold-standard model | S-975:Prior-sensitive nonidentification | S-976:Imperfect-test repeated measurement | S-977:Test-order effect | S-978:Disease-state evolution between tests | S-979:Accuracy heterogeneity | S-980:No-gold-standard model checking | S-661:Deterministic record linkage | S-662:Probabilistic record linkage | S-663:Fellegi–Sunter linkage | S-664:Comparison vector | S-665:m/u probabilities | S-666:Match / clerical / nonmatch triage | S-667:Blocking | S-668:Sorted-neighborhood linkage | S-669:Entity-resolution clustering | S-670:One-to-one linkage constraint | S-671:Bayesian record linkage | S-672:Linkage-uncertainty propagation | S-673:Deduplication | S-674:Fuzzy string comparison | S-941:Probability-sample anchor | S-942:Nonprobability rich sample | S-943:Common auxiliary bridge | S-944:Sample-membership propensity | S-945:Inverse-odds integration weighting | S-946:Covariate-balancing integration | S-947:Probability-reference calibration | S-948:Mass imputation | S-949:Nonparametric mass imputation | S-950:Outcome-model transportability | S-951:Selection ignorability for integration | S-952:Source-overlap/positivity | S-953:Doubly robust data integration | S-954:Augmented integration estimator | S-955:Selection-model misspecification sensitivity | S-956:Outcome-model misspecification sensitivity | S-957:Benchmark-variable validation | S-958:Integration effective sample size | S-959:Design + model variance propagation | S-960:Reference-sample bottleneck	S-961:Diagnostic evaluation | S-962:Latent binary state | S-963:Population heterogeneity assumptions | S-964:Latent-class diagnostics | S-965:Shared residual mechanism | S-966:Dependent diagnostics | S-967:Misclassified reference | S-968:Selective verification | S-969:Multiple reference standards | S-970:Post-hoc verification | S-971:No single gold standard | S-972:Hidden disease status | S-973:Shared accuracy across groups | S-974:Latent diagnostic model | S-975:Bayesian weak identification | S-976:Replicate tests | S-977:Sequential diagnostics | S-978:Dynamic latent state | S-979:Covariate-dependent error | S-980:Assumption-sensitive latent model | S-661:High-quality identifiers | S-662:Noisy identifiers | S-663:Pair classification | S-664:Record pairs | S-665:Fellegi–Sunter model | S-666:Decision thresholds | S-667:Large files | S-668:Approximate ordering | S-669:Multi-record identity | S-670:Bipartite identity constraint | S-671:Probabilistic identity model | S-672:Two-stage analysis | S-673:Within-file duplicates | S-674:Noisy text fields | S-941:Probability sample | S-942:Convenience/web/admin sample | S-943:Shared covariates | S-944:Data-source selection | S-945:Estimated source propensity | S-946:Shared auxiliary variables | S-947:Reference survey | S-948:X$ modelini öğren; probability sample’daki units’in $Y$’lerini predict/impute et \| Outcome transportability | S-949:Flexible outcome relation | S-950:X$ relation nonprobability source’dan probability-target population’a taşınabiliyor varsay \| Cross-source stability | S-951:Nonprobability selection | S-952:Support overlap | S-953:Two nuisance models | S-954:Probability + nonprobability sources | S-955:Unknown selection | S-956:X$ model target’a taşınmıyorsa mass-imputation bias’ını quantify et \| Model transport failure | S-957:Observable benchmark | S-958:Unequal integration weights | S-959:Hybrid inference | S-960:Data fusion			structural_relation	certificate_validation	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-961–980 no-gold-standard diagnostics | S-661–674 record linkage uncertainty | S-941–960 reference-sample anchoring | daha eski measurement-error records		HIGH_WITH_QUALIFIED_RANGE_ANCHORS	S
IM-008	EXPOSURE ≠ AUTHORITY ≠ INFORMATION ≠ LIQUIDITY	pre_saturation_registry	E-945; E-946; E-947; E-948; E-949; E-950; E-951; E-952; E-953; E-954; E-955; E-956; E-957; E-958; E-959; E-960; E-774; E-775; E-749; E-750	rehydrated_from_original_interaction_map	E-945:Exclusive license | E-946:Nonexclusive licensing | E-947:Field-of-use restriction | E-948:Geographic licensing scope | E-949:Sublicensing right | E-950:Minimum annual royalty | E-951:Milestone payment | E-952:Royalty-linked inventor incentive | E-953:Equity-based license consideration | E-954:Shelving incentive | E-955:Annual-fee anti-shelving mechanism | E-956:License take-back / reversion | E-957:Grant-back clause | E-958:Patent pool | E-959:Royalty stacking | E-960:Compulsory licensing | E-774:Board-seat allocation | E-775:State-contingent control transfer | E-749:Dual-class equity | E-750:Control–cash-flow wedge	E-945:Rival licensees excluded | E-946:Multiple licensees | E-947:Contractual scope | E-948:Territorial restriction | E-949:Delegated licensing | E-950:Commercialization discipline | E-951:Verifiable development event | E-952:Inventor moral hazard | E-953:Startup licensee | E-954:Strategic acquisition | E-955:Dormant license | E-956:Performance contingency | E-957:Follow-on innovation | E-958:Multiple essential patents | E-959:Fragmented IP rights | E-960:Regulatory intervention | E-774:Incomplete contracts | E-775:Verifiable performance | E-749:Multiple voting classes | E-750:Disproportionate rights			structural_relation	information_incentive	resource/flow	static/unspecified	strategic/informational	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	E-774 board-seat allocation | E-775 state-contingent control transfer | E-749 dual-class equity | E-750 control–cash-flow wedge | daha önce eklenen `PAYOFF-WEIGHT≠CONTROL-WEIGHT` | E-945–960 licensing rights		HIGH	E
IM-009	CONDITIONAL PERMEABILITY	pre_saturation_registry	P-554; P-555; P-869; P-887; P-888; P-541; E-947; E-960	rehydrated_from_original_interaction_map	P-554:Bragg reflection | P-555:Stop band | P-869:Selective SEI transport | P-887:Ion-selective membrane | P-888:Donnan exclusion | P-541:Waveguide cutoff | E-947:Field-of-use restriction | E-960:Compulsory licensing	P-554:Periodic medium | P-555:Band structure | P-869:Mixed ionic/electronic transport | P-887:Charged membrane | P-888:Charged porous phase | P-541:Bounded transverse geometry | E-947:Contractual scope | E-960:Regulatory intervention			condition	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-869 selective SEI transport | P-887 ion-selective membrane | P-888 Donnan exclusion | P-554/555 stop bands | P-541 waveguide cutoff | E-947 field-of-use restriction | E-960 compulsory licensing		HIGH	E;P
IM-010	PHYSICAL TOPOLOGY / POTENTIAL TOPOLOGY / CURRENTLY USABLE TOPOLOGY	pre_saturation_registry	P-1000; P-999; P-990; P-991; E-916; P-776	rehydrated_from_original_interaction_map	P-1000:Recovery-controlled propagation permission | P-999:Source–sink mismatch | P-990:Unidirectional block | P-991:Conduction failure threshold | E-916:Reserve-distribution friction | P-776:Dead-pore shielding	P-1000:State-dependent connectivity | P-999:Geometry + finite coupling | P-990:Asymmetric recovery/coupling | P-991:Propagation threshold | E-916:Heterogeneous banks | P-776:Transport accessibility			structural_relation	optimization_constraints;network_transport	graph/network	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-1000 recovery-controlled propagation | P-999 source–sink mismatch | P-990 unidirectional block | P-991 conduction failure | E-916 reserve-distribution friction | P-776 dead-pore shielding		HIGH	E;P
