rank	supplier_id	consumer_id	score	curated	active_for_build	adjudication_state	interface_matches	addressed_weaknesses	shared_domains	recommended_next	curated_rationale	decision_id	experiment_routing_status
1	LCB-K048	FOUNDRY:P136	71.0	True	True	UNADJUDICATED		decision	decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Allocate quasineutral measurements across fidelity and cost		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
2	LCB-K048	FOUNDRY:P144	70.0	True	True	UNADJUDICATED		decision	decision	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Route persistence-identification experiments by fidelity budget		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
3	LCB-K081	FOUNDRY:P138	70.0	True	True	UNADJUDICATED	gate		allocation,calibration,control,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Prevent search-policy acquisition from learning its own observation bias		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
4	LCB-K003	FOUNDRY:P031	55	True	True	UNADJUDICATED				ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Scale EVLT beyond additive audit values while preserving shared-capacity accounting		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
5	LCB-K019	FOUNDRY:P003	52	True	True	UNADJUDICATED				ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Gate SANP support masks with effective rather than nominal diversity		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
6	LCB-K068	FOUNDRY:P025	50	True	True	UNADJUDICATED				ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Route identification envelopes across declared shift regions		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
7	LCB-K009	FOUNDRY:P026	49	True	True	UNADJUDICATED				ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Use constraint pressure to target deployable bottleneck scans		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
8	LCB-K071	FOUNDRY:P135	48	True	True	UNADJUDICATED				ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK	Prevent deletion certificates from escaping their sensing shell		BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
9	FOUNDRY:P079	PARENT:IM334_IM094_DRE	42.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,decision,uncertainty	boundary,calibration,confounding,decision,measurement,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
10	FOUNDRY:P079	PARENT:IM359_IM014_AICC	42.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,decision,uncertainty	calibration,confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
