prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason	manual_status	manual_note	value_first_status	value_first_note
1	6.085011148970846	IM-206	IM-220	M	P	0.097148682470916	0.0909090909090909	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	INFER AN EQUILIBRIUM STATE DIFFERENCE FROM NONEQUILIBRIUM DRIVEN TRAJECTORIES	M-125; M-126	P-126; P-127	M-125: Regularity assumptions; M-126: Summability structure	P-126: Initial equilibrium; P-127: Microscopic reversibility	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Jarzynski/exponential-work convergence and rare-tail/sample-size behavior already studied; Tauberian wording does not create a new operator.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
2	6.035072089329423	IM-311	IM-233	S	M	0.0834793421082573	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	TWO UNKNOWN LAYERS CAN SOMETIMES BE RECOVERED JOINTLY IF THEY OBEY DIFFERENT STRUCTURAL CONSTRAINTS	S-174	M-174	S-174:Rare/weak regime	M-174:Identifiability constraints	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	PROMOTED_RX201_BENCHMARKED	Promoted as RX-201. Survives empirical-null rare/weak, strong-single, dense, exact-null, and blind-deconvolution scale/time-shift symmetry controls. Naive unquotiented shift-equivalent factorization falsely rejects ~100%, so symmetry quotient is a mandatory hard gate. Product 4/5 provisional.	ALREADY_PROMOTED_VALIDATED_RX201	Previous status retained unless maturity/prior-art was the only reason for demotion.
3	5.921885526554121	IM-206	IM-219	M	P	0.0816788431212063	0.0	0.1111111111111111	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A SYSTEM’S ARROW OF TIME CAN BE VISIBLE IN FORWARD/REVERSE PATH PROBABILITIES EVEN WHEN MACRO STATE IS STATIONARY	M-125; M-126	P-121; P-124; P-125	M-125: Regularity assumptions; M-126: Summability structure	P-121: Nonequilibrium drive; P-124: Stochastic thermodynamics; P-125: Nonequilibrium path probabilities	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_WEAK_BRIDGE	Transform-boundary asymptotics and path-arrow/entropy production are both mature; proposed connection lacks a receiving-domain missing operator.	DEMOTE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
4	5.834460329984157	IM-280	IM-182	S	M	0.1105225177728069	0.0588235294117647	0.0	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	DIRECT CONTROL/NOISE DIRECTIONS CAN BE FEW WHILE ORDERED DYNAMICAL COMPOSITIONS GENERATE MANY MORE DIRECTIONS	S-390	M-388; M-389; M-390	S-390:Online feedback	M-388: Lie-bracket spanning; M-389: Noncommuting vector fields; M-390: Bracket-generating controls	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Coverage-width feedback and Lie-generated reachability do not form a clear causal/operator composition.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
5	5.828090672598793	IM-088	IM-247	P	M	0.1171338994308266	0.1111111111111111	0.0	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	P-355	M-645; M-648	P-355:Moving phase boundary	M-645:Domain geometry | M-648:Fine boundary geometry	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	PROMOTED_RX200_CHILD	Moving-boundary state + harmonic accessibility is coherent; promoted only with target sensing as RX-200 and benchmarked as an extension.	ALREADY_PROMOTED_VALIDATED_RX200	Previous status retained unless maturity/prior-art was the only reason for demotion.
6	5.828090672598793	IM-247	IM-088	M	P	0.1171338994308266	0.1111111111111111	0.0	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-645; M-648	P-355	M-645:Domain geometry | M-648:Fine boundary geometry	P-355:Moving phase boundary	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECTIONAL_DUPLICATE	Reverse direction of the RX-200 ingredients; no distinct operator.	DEMOTE_DIRECTIONAL_DUPLICATE	Previous status retained unless maturity/prior-art was the only reason for demotion.
7	5.737489741976738	IM-170	IM-282	P	E	0.0951597165397025	0.0	0.0	SUCCESS DEPENDS ON COMPLETING TRANSPORT/REACTION BEFORE A FINITE LIFETIME OR RESIDENCE CLOCK EXPIRES	NOMINAL COMMITMENTS CAN EXCEED PHYSICAL CAPACITY WHEN ONLY A RANDOM SUBSET MATERIALIZES — AT COST OF OVERFLOW RISK	P-465; P-466	E-465; E-466	P-465: Reaction vs transport times; P-466: Timescale ratio	E-465:No-show uncertainty | E-466:Random show-up	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Overbooking with no-shows, stochastic service times, sequential delivery and overtime is already mature operations research.	REOPEN_HIGH_VALUE_APPLIED	Operations/capacity losses can be large; maturity is not a reason to discard. Need concrete deployment benchmark.
8	5.726779623231293	IM-206	IM-147	M	P	0.0896418877303972	0.1	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A VANISHINGLY SMALL SUBSET CAN DOMINATE LONG-TIME OR AGGREGATE BEHAVIOR	M-125; M-126	P-154	M-125: Regularity assumptions; M-126: Summability structure	P-154:Disorder/extreme heterogeneity	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Long-time asymptotics dominated by rare regions/tails is classical asymptotic/statistical-physics territory.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
9	5.684460329984157	IM-182	IM-280	M	S	0.1105225177728069	0.0588235294117647	0.0	DIRECT CONTROL/NOISE DIRECTIONS CAN BE FEW WHILE ORDERED DYNAMICAL COMPOSITIONS GENERATE MANY MORE DIRECTIONS	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	M-388; M-389; M-390	S-390	M-388: Lie-bracket spanning; M-389: Noncommuting vector fields; M-390: Bracket-generating controls	S-390:Online feedback	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Lie reachability does not naturally supply a coverage-width feedback law.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
10	5.669647928649976	IM-181	IM-088	M	P	0.075013040702007	0.0833333333333333	0.1666666666666666	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-431; M-432	P-355	M-431: PDE boundary access; M-432: Elliptic PDE	P-355:Moving phase boundary	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Moving-boundary inverse/identification and boundary interrogation are established inverse-PDE problems.	DEMOTE_PRIOR_ART	Previous status retained unless maturity/prior-art was the only reason for demotion.
