product_id	short_name	salvage_status	parents	promotion_state_claim	source_files	test_files	result_present	benchmark_files	strength_salvaged	weakness_salvaged	artifact_paths	reconstruction_rule
P001	DREW	FULL_SOURCE_AND_TEST	ACSA + DLEW + TDSX + SCE + MDDC + optional MIFF		__init__.py;acsa.py;benchmark_route_a.py;dlew.py;drew.py;mddc.py;miff.py;real_data_pilot_digits.py;sce.py;tdsx.py;test_drew.py	test_drew.py	yes	BENCHMARK_RESULT.json;REAL_DATA_PILOT_DIGITS.json	yes	no	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P001_DREW;INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P001_DREW	verify supplied source/tests; do not recreate
P002	DCPS	FULL_SOURCE_AND_TEST	PSCT + DSBC + CAPL + DLEW		__init__.py;benchmark_route_b.py;capl.py;dcps.py;dlew.py;dsbc.py;psct.py;test_dcps.py	test_dcps.py	yes	BENCHMARK_RESULT.json	yes	yes	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P002_DCPS;INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P002_DCPS	verify supplied source/tests; do not recreate
P003	SANP	FULL_SOURCE_AND_TEST	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC_BENCHMARK	__init__.py;benchmark_route_c.py;enpc.py;sacps.py;sanp.py;test_sanp.py	test_sanp.py	yes	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P003_SANP;INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P003_SANP	verify supplied source/tests; do not recreate
P004	BAMI	FULL_SOURCE_AND_TEST	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC_DECISION_BENCHMARK	__init__.py;bami.py;ebc.py;mbpf.py;mcris.py;tdsx.py;test_bami.py	test_bami.py	yes	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P004_BAMI	verify supplied source/tests; do not recreate
P005	CARF	FULL_SOURCE_AND_TEST	UNEXTRACTED	WORKING_COMPOSITION / CERTIFICATE-SCOPE ROUTER	__init__.py;bred.py;carf.py;corma.py;dsbc.py;ote.py;psct.py;salc.py;test_carf.py;tsrc.py;twmr.py	test_carf.py	yes	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P005_CARF;INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P005_CARF	verify supplied source/tests; do not recreate
P006	VPRL	FULL_SOURCE_AND_TEST	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC ACCOUNTING BENCHMARK	__init__.py;lcm.py;priu.py;test_vprl.py;vprl.py	test_vprl.py	yes	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P006_VPRL;INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P006_VPRL	verify supplied source/tests; do not recreate
P007	VCPA	FULL_SOURCE_AND_TEST	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC CAPITAL-MARKET BENCHMARK	__init__.py;lcm.py;mcpr.py;priu.py;test_vcpa.py;vcpa.py	test_vcpa.py	yes	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_BASE_P007_2026-08-25/LABALLCOMPASS_PRODUCT_INTERACTION_FOUNDRY_WORK/03_OUTPUT/PRODUCTS/P007_VCPA;INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P007_VCPA	verify supplied source/tests; do not recreate
P008	CCTD	PARTIAL_SOURCE_NO_TEST			cctd.py		no	REAL_DATA_PILOT_DIABETES.json	no	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P008_CCTD	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P009		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P010		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
