prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
1	6.085011148970846	IM-206	IM-220	M	P	0.097148682470916	0.09090909090909091	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	INFER AN EQUILIBRIUM STATE DIFFERENCE FROM NONEQUILIBRIUM DRIVEN TRAJECTORIES	M-125; M-126	P-126; P-127	M-125: Regularity assumptions; M-126: Summability structure	P-126: Initial equilibrium; P-127: Microscopic reversibility	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
2	6.035072089329423	IM-311	IM-233	S	M	0.08347934210825736	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	TWO UNKNOWN LAYERS CAN SOMETIMES BE RECOVERED JOINTLY IF THEY OBEY DIFFERENT STRUCTURAL CONSTRAINTS	S-174	M-174	S-174:Rare/weak regime	M-174:Identifiability constraints	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
3	5.921885526554121	IM-206	IM-219	M	P	0.08167884312120638	0.0	0.1111111111111111	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A SYSTEM’S ARROW OF TIME CAN BE VISIBLE IN FORWARD/REVERSE PATH PROBABILITIES EVEN WHEN MACRO STATE IS STATIONARY	M-125; M-126	P-121; P-124; P-125	M-125: Regularity assumptions; M-126: Summability structure	P-121: Nonequilibrium drive; P-124: Stochastic thermodynamics; P-125: Nonequilibrium path probabilities	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
4	5.834460329984157	IM-280	IM-182	S	M	0.1105225177728069	0.058823529411764705	0.0	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	DIRECT CONTROL/NOISE DIRECTIONS CAN BE FEW WHILE ORDERED DYNAMICAL COMPOSITIONS GENERATE MANY MORE DIRECTIONS	S-390	M-388; M-389; M-390	S-390:Online feedback	M-388: Lie-bracket spanning; M-389: Noncommuting vector fields; M-390: Bracket-generating controls	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
5	5.828090672598793	IM-088	IM-247	P	M	0.11713389943082668	0.1111111111111111	0.0	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	P-355	M-645; M-648	P-355:Moving phase boundary	M-645:Domain geometry | M-648:Fine boundary geometry	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
6	5.828090672598793	IM-247	IM-088	M	P	0.11713389943082668	0.1111111111111111	0.0	BOUNDARY INFLUENCE IS SET BY DYNAMICAL/GEOMETRIC ACCESSIBILITY, NOT RAW BOUNDARY SIZE	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-645; M-648	P-355	M-645:Domain geometry | M-648:Fine boundary geometry	P-355:Moving phase boundary	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
7	5.737489741976738	IM-170	IM-282	P	E	0.09515971653970251	0.0	0.0	SUCCESS DEPENDS ON COMPLETING TRANSPORT/REACTION BEFORE A FINITE LIFETIME OR RESIDENCE CLOCK EXPIRES	NOMINAL COMMITMENTS CAN EXCEED PHYSICAL CAPACITY WHEN ONLY A RANDOM SUBSET MATERIALIZES — AT COST OF OVERFLOW RISK	P-465; P-466	E-465; E-466	P-465: Reaction vs transport times; P-466: Timescale ratio	E-465:No-show uncertainty | E-466:Random show-up	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
8	5.726779623231293	IM-206	IM-147	M	P	0.08964188773039723	0.1	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A VANISHINGLY SMALL SUBSET CAN DOMINATE LONG-TIME OR AGGREGATE BEHAVIOR	M-125; M-126	P-154	M-125: Regularity assumptions; M-126: Summability structure	P-154:Disorder/extreme heterogeneity	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
9	5.684460329984157	IM-182	IM-280	M	S	0.1105225177728069	0.058823529411764705	0.0	DIRECT CONTROL/NOISE DIRECTIONS CAN BE FEW WHILE ORDERED DYNAMICAL COMPOSITIONS GENERATE MANY MORE DIRECTIONS	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	M-388; M-389; M-390	S-390	M-388: Lie-bracket spanning; M-389: Noncommuting vector fields; M-390: Bracket-generating controls	S-390:Online feedback	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
10	5.669647928649976	IM-181	IM-088	M	P	0.07501304070200705	0.08333333333333333	0.16666666666666666	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-431; M-432	P-355	M-431: PDE boundary access; M-432: Elliptic PDE	P-355:Moving phase boundary	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
