retro_native_rank	supplier_id	consumer_id	supplier_name	consumer_name	supplier_family	consumer_family	score	supplier_is_retro50	consumer_is_retro50	legacy_policy_eligible	new_same_parent_family_expansion	candidate_origin	r386_disposition	r386_raw_native_rank	current_adjudication_state	completed_product_id	needs_fresh_adjudication	interface_matches	addressed_weaknesses	shared_domains
1	FOUNDRY:P079	PARENT:R014_S781_S792_ACSA	P079 CBIA	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	37.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_AUDIT_SELECTION_FAMILY	388			False	boundary,evidence,gate	calibration,uncertainty	calibration,transfer,uncertainty
2	FOUNDRY:P079	PARENT:R018_M866_M880_MCSC	P079 CBIA	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	37.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_STRUCTURAL_AUDIT_FAMILY	821			False	boundary,evidence,gate	calibration,uncertainty	boundary,calibration,transfer,uncertainty
3	FOUNDRY:P079	PARENT:R041_CONSTRAINED_POLICY_CAPL	P079 CBIA	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	37.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	54			False	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty
4	FOUNDRY:P079	PARENT:R044_DECISION_LOSS_DLEW	P079 CBIA	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	37.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_DECISION_LOSS_FAMILY	150			False	boundary,evidence,gate	calibration,uncertainty	calibration,decision,transfer,uncertainty
5	FOUNDRY:P079	PARENT:R008_E612_E613_LGID	P079 CBIA	R008_E612_E613_LGID	FOUNDRY_PRODUCT	FOUNDRY_PARENT	36.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	535			False	boundary,evidence,gate	calibration,uncertainty	calibration,uncertainty
6	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P138	R037_SUPPORT_COVARIANCE_SACPS	P138 SPIA	FOUNDRY_PARENT	FOUNDRY_PRODUCT	36.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE				V2P010	False	gate	decision,support,uncertainty	calibration,decision,support,uncertainty
7	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM334_IM094_DRE	R037_SUPPORT_COVARIANCE_SACPS	IM334_IM094_DRE	FOUNDRY_PARENT	FOUNDRY_PARENT	36.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	decision,support,uncertainty	calibration,decision,support,transfer,uncertainty
8	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM359_IM014_AICC	R037_SUPPORT_COVARIANCE_SACPS	IM359_IM014_AICC	FOUNDRY_PARENT	FOUNDRY_PARENT	36.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	decision,support,uncertainty	calibration,decision,support,uncertainty
9	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM406_IM037_ACRA	R037_SUPPORT_COVARIANCE_SACPS	IM406_IM037_ACRA	FOUNDRY_PARENT	FOUNDRY_PARENT	36.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	decision,support,uncertainty	calibration,decision,support,uncertainty
10	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P057	R037_SUPPORT_COVARIANCE_SACPS	P057 FIAC	FOUNDRY_PARENT	FOUNDRY_PRODUCT	35.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE				V2P028	False	gate	decision,support,uncertainty	calibration,decision,support,uncertainty
