product_id	short_name	canonical_status	family_status	supplier_id	consumer_id	domains	test_methods	source_lines	public_api	third_party_dependencies	readme_summary
V2P001	SAVA	CANONICAL	DISTINCT_FAMILY	LCB-K003	FOUNDRY:P031		6	138	AuditCandidate,SAVAResult,SharedAuditRank,allocate_verification_liquidity,to_dict		Run `python test_sava.py`. The module has no external dependencies.
V2P002	MFQA	CANONICAL	DISTINCT_FAMILY	LCB-K048	FOUNDRY:P136	allocation,systems	6	172	FidelityChannel,MFQAResult,allocate_quasineutral_measurements,main,run_case,to_dict	numpy	Run `python test_mfqa.py`. Requires NumPy, already used by the QAIG parent.
V2P003	MFPD	CANONICAL	DISTINCT_FAMILY	LCB-K048	FOUNDRY:P144	allocation,systems	12	342	FidelityIdentificationChannel,MFPDResult,identify_persistence_then_route_budget,main,to_dict	numpy	
V2P004	OPIA	CANONICAL	DISTINCT_FAMILY	LCB-K081	FOUNDRY:P138	decision	12	404	BackactionEstimate,GuardedChannelValue,OPIAResult,ObservationPolicyHistory,acquire_for_search_policy_with_backaction_guard,main,to_dict	numpy	
V2P005	EDSANP	CANONICAL	DISTINCT_FAMILY	LCB-K019	FOUNDRY:P003		12	427	EDSANPResult,SupportEvidence,SupportEvidenceCheck,compare_gated_with_raw_on_fresh_returns,construct_effective_diversity_gated_portfolio,ev,sparse_covariance,to_dict	numpy	Composition: `LCB-K019 EffectiveDiversityGuardV0 -> FOUNDRY:P003 SANP`.
V2P006	IDASRO	CANONICAL	DISTINCT_FAMILY	LCB-K068	FOUNDRY:P025	robustness	12	293	DirectionalRobustDecision,IDASROResult,identification_admissible_shift_robust_decision,to_dict	numpy	Identification-Driven Admissible-Shift Robust Optimizer.
V2P007	CPDBE	CANONICAL	DISTINCT_FAMILY	LCB-K009	FOUNDRY:P026	safety	12	264	EdgePressure,PressureGuidedTippingResult,pressure_guided_deployable_tipping,to_dict		Exact K009-style active-cap pruning for P026 DBTE's fixed series-path, one-edge capacity-increase shell. See `PRODUCT_RESULT.md` for the certificate and non-claims.
V2P008	TGCARS	CANONICAL	DISTINCT_FAMILY	LCB-K071	FOUNDRY:P135	allocation,memory	12	422	TGCARSResult,TransportAudit,actual_loss,audit_guarantee_transport,to_dict,transport_gated_certificate_aware_resolution	numpy	Transport-gated reuse of P135 CARS deletion certificates. The K071 residual/conditional-law transport audit decides whether P135 may continue assigning zero sensing consequence to certified-deleted features. If transport is not certified, zeroing is disabled and the allocation falls back to non-zero declared feature consequence weights while explicit re-certification remains required.
V2P009	SGMB	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P140	LCB-K048	allocation,measurement,systems	12	260	SGMBResult,support_gated_multifidelity_monitoring,to_dict		BOSA support-gated K048 multi-fidelity monitoring. Cheap proxy measurements are permitted only when the original cohort still has declared overlap support for the survivor population; high pilot correlation alone cannot override support failure.
V2P010	SCSPIA	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P138	measurement,decision	12	276	SCSPIAResult,simplex_tangent_basis,support_calibrated_search_policy_acquisition,to_dict,vals	numpy	Support-calibrated covariance for P138 Search-Policy Information Acquisition. SACPS is applied in an orthonormal simplex-tangent coordinate system, then the supported/shrunk covariance is lifted back to a probability covariance before SPIA prices measurement channels.
V2P011	BIVCP	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P079	LCB-K015	measurement,decision,robustness	12	97	Result,boundary_information_capacity_plan,to_dict		BIVCP composes calibrated boundary-information acquisition with variance-aware capacity planning. It buys a measurement only when expected downstream capacity-decision loss falls by more than measurement cost.
V2P012	SARCP	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P140	LCB-K015	robustness	12	64	Result,realized_shortfall,support_adjusted_reserve,to_dict		SARCP composes burnout-overlap support auditing with variance-aware capacity planning. When effective support drops below a declared floor, uncertainty is inflated before reserve capacity is chosen.
V2P013	CADRE	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P091	PARENT:IM334_IM094_DRE	allocation,decision,robustness,compression	12	78	CADREResult,a,compression_aware_dre,to_dict		P091 decision-compression tipping supplies a decision-error budget to DRE. A compressed DRE choice is accepted only when its top-two score margin exceeds the declared compression bound; otherwise the product routes to full-resolution DRE or abstains.
V2P014	BATS	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P079	LCB-K012	allocation,measurement,decision,calibration	6	36	Result,boundary_aware_timing,to_dict		CBIA boundary evidence gates policy-aware timing acquisition. Timing probes are scheduled only when the calibrated interval spans multiple downstream actions; action-invariant regions conserve sensing budget.
V2P015	BGTW	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P079	LCB-K086	decision,robustness,systems	6	33	Result,boundary_gated_wealth,to_dict		CBIA action-boundary evidence controls when testing wealth can be spent. Wealth is preserved when calibrated uncertainty cannot change the action and is released only at decision-relevant boundaries.
V2P016	BVRP	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P079	LCB-K091	decision,robustness,safety,calibration	6	31	Result,boundary_viability_plan,to_dict		CBIA determines whether uncertainty spans opposing reach/avoid actions. The reach-avoid planner uses the nominal action only when the calibrated interval is action-invariant; otherwise it routes to the declared safe fallback.
V2P017	CCDRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P109	PARENT:IM334_IM094_DRE	allocation,measurement,decision	6	34	Result,conservation_calibrated_explore,to_dict		CCIA conservation checks are inserted before decision-relevant exploration. High apparent information value is ignored when the measurement violates the declared conservation residual budget.
V2P018	WTDRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P062	PARENT:IM334_IM094_DRE	decision,robustness	6	33	Result,to_dict,wasserstein_tipped_explore		WDTG distance-to-decision-flip becomes an exploration urgency signal. DRE prioritizes the admissible candidate with the nearest declared Wasserstein decision tipping point rather than the largest raw variance.
V2P019	STHA	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P065	PARENT:R014_S781_S792_ACSA	robustness	6	32	Result,support_tipped_holdout,to_dict		SWTE support tipping gates ACSA-style protected holdout selection. If effective support falls below the declared floor, the audit abstains instead of treating the protected mean as stable.
V2P020	PADRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P092	PARENT:IM334_IM094_DRE	measurement,decision	6	33	Result,privacy_accuracy_explore,to_dict		PDAT converts privacy noise into a decision-correctness gate before DRE uses a private measurement. Exploration proceeds only when the declared epsilon/margin shell clears the required action accuracy.
V2P021	BMDRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P093	PARENT:IM334_IM094_DRE	decision,robustness	6	31	Result,belief_metric_explore,to_dict		BMDT supplies a path-local distance-to-action-flip. DRE accepts a reduced belief only when its approximation error is strictly smaller than the declared tipping distance; otherwise it requests full belief resolution.
V2P022	CFDRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P141	PARENT:IM334_IM094_DRE	compression,systems	6	31	Result,closure_fidelity_explore,to_dict		PCFT predictive-closure fidelity is used as a representation gate for DRE. Reduced-state exploration is accepted only above the declared closure floor; otherwise the explorer routes to full predictive state.
V2P023	CODRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P023	PARENT:IM334_IM094_DRE	decision,robustness	6	34	Result,causal_overlap_explore,to_dict		COST overlap sensitivity becomes a support gate for DRE. Candidate exploration that depends on unsupported causal overlap is blocked before its apparent decision leverage can dominate the exploration score.
