supplier	consumer	shared_tags	supplier_strength	consumer_gap
P001	P002	selection	feasibility-gated selection	declared score
P001	P003	selection	feasibility-gated selection	declared score
P001	P004	selection	feasibility-gated selection	declared score
P001	P005	selection	feasibility-gated selection	declared score
P001	P006	selection	feasibility-gated selection	declared score
P001	P007	selection	feasibility-gated selection	declared score
P001	P008	selection	feasibility-gated selection	declared score
P001	P012	selection	feasibility-gated selection	declared score
P001	P013	selection	feasibility-gated selection	declared score
P001	P014	selection	feasibility-gated selection	declared score
P001	P015	selection	feasibility-gated selection	declared score
P001	P016	selection	feasibility-gated selection	declared score
P001	P017	selection	feasibility-gated selection	declared score
P001	P019	selection	feasibility-gated selection	declared score
P001	P028	selection	feasibility-gated selection	declared score
P001	P034	selection	feasibility-gated selection	declared score
P001	P035	selection	feasibility-gated selection	declared score
P001	P038	selection	feasibility-gated selection	declared score
P001	P039	selection	feasibility-gated selection	declared score
P001	P061	selection	feasibility-gated selection	declared score
P001	P067	selection	feasibility-gated selection	declared score
P001	P068	selection	feasibility-gated selection	declared score
P001	P077	selection	feasibility-gated selection	declared score
P001	P100	selection	feasibility-gated selection	declared score
P001	P101	selection	feasibility-gated selection	declared score
P001	P102	selection	feasibility-gated selection	declared score
P001	P103	selection	feasibility-gated selection	declared score
P001	P104	selection	feasibility-gated selection	declared score
P001	P105	selection	feasibility-gated selection	declared score
P001	P116	selection	feasibility-gated selection	declared score
P001	P118	selection	feasibility-gated selection	declared score
P001	P120	selection	feasibility-gated selection	declared score
P001	P121	selection	feasibility-gated selection	declared score
P001	P124	selection	feasibility-gated selection	declared score
P001	P127	selection	feasibility-gated selection	declared score
P001	P128	selection	feasibility-gated selection	declared score
P001	P129	selection	feasibility-gated selection	declared score
P001	P130	selection	feasibility-gated selection	declared score
P001	P132	selection	feasibility-gated selection	declared score
P001	P133	selection	feasibility-gated selection	declared score
P001	P134	selection	feasibility-gated selection	declared score
P001	P139	selection	feasibility-gated selection	declared score
P002	P001	selection	feasibility-gated selection	declared score
P002	P003	selection	feasibility-gated selection	declared score
P002	P004	selection	feasibility-gated selection	declared score
P002	P005	selection	feasibility-gated selection	declared score
P002	P006	selection	feasibility-gated selection	declared score
P002	P007	selection	feasibility-gated selection	declared score
P002	P008	selection	feasibility-gated selection	declared score
P002	P012	selection	feasibility-gated selection	declared score
P002	P013	selection	feasibility-gated selection	declared score
P002	P014	selection	feasibility-gated selection	declared score
P002	P015	selection	feasibility-gated selection	declared score
P002	P016	selection	feasibility-gated selection	declared score
P002	P017	selection	feasibility-gated selection	declared score
P002	P019	selection	feasibility-gated selection	declared score
P002	P028	selection	feasibility-gated selection	declared score
P002	P034	selection	feasibility-gated selection	declared score
P002	P035	selection	feasibility-gated selection	declared score
P002	P038	selection	feasibility-gated selection	declared score
P002	P039	selection	feasibility-gated selection	declared score
P002	P061	selection	feasibility-gated selection	declared score
P002	P067	selection	feasibility-gated selection	declared score
P002	P068	selection	feasibility-gated selection	declared score
P002	P077	selection	feasibility-gated selection	declared score
P002	P100	selection	feasibility-gated selection	declared score
P002	P101	selection	feasibility-gated selection	declared score
P002	P102	selection	feasibility-gated selection	declared score
P002	P103	selection	feasibility-gated selection	declared score
P002	P104	selection	feasibility-gated selection	declared score
P002	P105	selection	feasibility-gated selection	declared score
P002	P116	selection	feasibility-gated selection	declared score
P002	P118	selection	feasibility-gated selection	declared score
P002	P120	selection	feasibility-gated selection	declared score
P002	P121	selection	feasibility-gated selection	declared score
P002	P124	selection	feasibility-gated selection	declared score
P002	P127	selection	feasibility-gated selection	declared score
P002	P128	selection	feasibility-gated selection	declared score
P002	P129	selection	feasibility-gated selection	declared score
P002	P130	selection	feasibility-gated selection	declared score
P002	P132	selection	feasibility-gated selection	declared score
P002	P133	selection	feasibility-gated selection	declared score
P002	P134	selection	feasibility-gated selection	declared score
P002	P139	selection	feasibility-gated selection	declared score
P003	P001	selection	feasibility-gated selection	declared score
P003	P002	selection	feasibility-gated selection	declared score
P003	P004	selection	feasibility-gated selection	declared score
P003	P005	selection	feasibility-gated selection	declared score
P003	P006	selection	feasibility-gated selection	declared score
