product_id	short_name	title	tier	parents	execution_mode	source_files	test_files
P001	DREW	Product result — P001 DREW v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	11	1
P002	DCPS	Product result — P002 DCPS v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	8	1
P003	SANP	P003 result — SANP v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	6	1
P004	BAMI	P004 result — BAMI v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	7	1
P005	CARF	P005 result — CARF v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	11	1
P006	VPRL	P006 result — VPRL v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	5	1
P007	VCPA	P007 result — VCPA v0.1	ORIGINAL_EXECUTABLE_MATERIAL	see PARENT_PROVENANCE.md / historical result	selection	6	1
P008	CCTD	P008_CCTD	SALVAGED_SOURCE_WITH_REBUILT_TESTS	see PARENT_PROVENANCE.md / historical result	selection	6	1
P009	URAI	Uncertainty-Routed Acquisition Interface	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	DFDPE + AICC	allocation	2	1
P010	DPHO	Deployment Policy Holdout	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	CDBL + ACSA	audit	2	1
P011	IDLG	Integrality Decision-Loss Gate	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	RIC + DLEW	selection	2	1
P012	PQDR	P012_PQDR	SALVAGED_SOURCE_WITH_REBUILT_TESTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P013	CFDR	P013_CFDR	SALVAGED_SOURCE_WITH_REBUILT_TESTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P014	DARI	P014_DARI	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P015	CPDR	P015_CPDR	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	7	1
P016	CATR	P016 CATR v0.1 — Calibration-Aware Trigger Router	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P017	RECS	P017 RECS v0.1 — Relational Evidence-Conditioned Safeguards	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P018	DPCG	P018 DPCG v0.1 — Decision Privacy Composition Governor	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P019	DATC	P019 DATC v0.1 — Damage-Aware Trigger Calibrator	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	5	1
P020	REDT	Relational Evidence Discrepancy Tipping	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	REL + TDSX	tipping	2	1
P021	MRIA	Model-Reduction Information Acquisition	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	TWMR + AICC	allocation	2	1
P022	AFHA	Architecture Failure Holdout Audit	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	MFPA + ACSA	audit	2	1
P023	COST	Causal Overlap Sensitivity Tipping	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	OTE + TDSX	tipping	2	1
P024	TFRD	Time-Frequency Reporting Decision	NEW_REPLACEMENT_FOR_UNRECOVERABLE_HISTORICAL_ID	TFLD + DLEW	selection	2	1
P025	IDRE	P025 IDRE v0.1 — Identification-Driven Decision Robustness Envelope	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	1	1
P026	DBTE	P026 DBTE v0.1 — Deployable Bottleneck Tipping Explorer	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	1	1
P027	IDAC	P027 IDAC v0.1 — Integral Deployability Audit Certificate	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	1	1
P028	REIS	P028 REIS v0.1 — Relational Evidence Impact Safeguards	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	1	1
P029	RATR	P029 RATR v0.1 — Resilience-Aware Target Reduction	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	1	1
P030	FPTE	P030 FPTE v0.1 — Failure-Path Tipping Explorer	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	1	1
P031	EVLT	P031 EVLT v0.1 — Evidence-Weighted Liquidity Triage	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P032	SGOT	P032 SGOT v0.1 — Support-Gated Orthogonal Target	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P033	CATF	P033 CATF v0.1 — Consequence-Aware Time-Frequency Allocation	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P034	UGIM	P034 UGIM v0.1 — Ultimate Gain Incidence Mapper	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P035	SVCO	P035 SVCO v0.1 — Stateful Volcano Cycle Optimizer	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P036	MAWT	P036 MAWT v0.1 — Mass-Aware Wasserstein Transport	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P037	MCST	P037 MCST v0.1 — Monotone-Certificate Sensitivity Tipping	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P038	LIDA	P038 LIDA v0.1 — Lock-In Damage Accumulator	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P039	CACF	P039 CACF v0.1 — Control-Aware Circular Flow	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P040	BAPC	P040 BAPC v0.1 — Blackwell-Audited Persuasion Channel	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P041	DDER	P041 DDER v0.1 — Double-Diffusive Exposure Resilience	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
P042	HPMD	P042 HPMD v0.1 — Hidden-Population Model Decision Audit	MECHANISM_RECONSTRUCTED_FROM_RESULTS	see PARENT_PROVENANCE.md / historical result	selection	2	1
