product_id	short_name	title	origin	parents_raw	promotion_state	has_explicit_strength	has_explicit_weakness	executable_source_present	test_source_present	strength_raw	weakness_raw
P001	DREW	Product result — P001 DREW v0.1	BASE_FOUNDATION	ACSA + DLEW + TDSX + SCE + MDDC + optional MIFF		True	False	True	True	"DLEW previously answered whether model rankings by prediction error and downstream decision loss
could differ. ACSA previously answered whether an adaptively selected candidate survived untouched
evaluation, but required a case-by-candidate loss matrix. DREW makes downstream decision regret the
selection-audit object directly. This closes an executable loop:

`raw predictions/outcomes/actions → casewise decision regret → adaptive-selection audit → protected candidate comparison`.

TDSX can then treat the decision-selection advantage itself as the black-box metric whose assumption
surface is explored. The other Route-A parents are preserved as typed evidence branches rather than
collapsed into a false common metric."	
P002	DCPS	Product result — P002 DCPS v0.1	BASE_FOUNDATION+CURRENT_DELTA	PSCT + DSBC + CAPL + DLEW		True	True	True	True	"Neither PSCT nor DSBC alone certifies the conjunction needed by a recursively used decision state.
PSCT protects predictive closure but not decision irrelevance; DSBC protects bounded decision regret
but explicitly does not claim Markov/predictive closure. DCPS composes the two certificates and adds
partition refinement so a state merge survives only when both properties hold on the observed shell.

This directly operationalizes the distinction:

`same action now` **does not imply** `same state for future decisions`."	"DCPS closure is empirical on the PSCT observed context shell. It is not a theorem about unseen
histories. A real-data pilot should therefore report context coverage and unresolved rates alongside
policy performance."
P003	SANP	P003 result — SANP v0.1	BASE_FOUNDATION+CURRENT_DELTA	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC_BENCHMARK	False	False	True	True		
P004	BAMI	P004 result — BAMI v0.1	BASE_FOUNDATION	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC_DECISION_BENCHMARK	False	False	True	True		
P005	CARF	P005 result — CARF v0.1	BASE_FOUNDATION	UNEXTRACTED	WORKING_COMPOSITION / CERTIFICATE-SCOPE ROUTER	False	False	True	True		
P006	VPRL	P006 result — VPRL v0.1	BASE_FOUNDATION	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC ACCOUNTING BENCHMARK	False	False	True	True		
P007	VCPA	P007 result — VCPA v0.1	BASE_FOUNDATION	UNEXTRACTED	WORKING_COMPOSITION / SYNTHETIC CAPITAL-MARKET BENCHMARK	False	False	True	True		
P016	CATR	P016 CATR v0.1 — Calibration-Aware Trigger Router	CURRENT_DELTA	CWC -> prequential interval upper endpoint -> DTTC candidate-signal competition.	UNEXTRACTED	True	True	False	False	"CWC -> prequential interval upper endpoint -> DTTC candidate-signal competition.

CATR never equates interval width with the protected event. The raw forecast center and the CWC upper endpoint are separate trigger candidates. DTTC chooses the signal/threshold using explicit false-negative and false-positive costs. The chosen signal and threshold are then frozen for a fresh sequential segment; CWC may continue to update only from outcomes already observed."	The benchmark is prequential, not a frozen-feature i.i.d. holdout: later fresh CWC features may use earlier fresh outcomes, never the current or future outcome. CATR does not claim that an upper endpoint is universally superior; DTTC is explicitly allowed to reject it.
P017	RECS	P017 RECS v0.1 — Relational Evidence-Conditioned Safeguards	CURRENT_DELTA	REL discrepancy localization -> record-level marginal culprit posterior -> CSID safeguard portfolio.	UNEXTRACTED	True	True	False	False	"REL discrepancy localization -> record-level marginal culprit posterior -> CSID safeguard portfolio.

RECS lets an observed evidence inconsistency change which safeguard is economically justified, while CSID still prevents two safeguards that depend on the same evidence family from being counted as independent protection."	REL marginals are conditional on its enumerated non-empty culprit-set hypothesis space. They are not unconditional fraud probabilities. CSID receives additive per-record consequences; expectation remains valid under correlated culprit sets because the loss is additive.
P018	DPCG	P018 DPCG v0.1 — Decision Privacy Composition Governor	CURRENT_DELTA	DTPR private action/selection releases -> PPSA global privacy accounting.	UNEXTRACTED	True	True	False	False	"DTPR private action/selection releases -> PPSA global privacy accounting.

DTPR already protects one controller's local epsilon budget. DPCG adds a global preflight gate so multiple independent DTPR controllers cannot each stay locally valid while collectively overspending one shared privacy budget. PPSA-valid post-processing remains zero additional privacy cost."	DPCG accounts declared DTPR mechanism charges. It does not infer sensitivity, validate the neighboring-dataset definition, or turn a non-DP mechanism into a DP one.
P019	DATC	P019 DATC v0.1 — Damage-Aware Trigger Calibrator	CURRENT_DELTA	DSDA sequential subcritical-damage evidence -> DTTC signal/threshold competition.	UNEXTRACTED	True	True	False	False	"DSDA sequential subcritical-damage evidence -> DTTC signal/threshold competition.

DATC lets accumulated evidence compete directly with the raw directed residual under explicit false-negative and false-positive costs. The selected channel and threshold are frozen before evaluation on a fresh sequence."	DATC does not infer the protected failure event or physical fatigue law. It calibrates a decision trigger over declared signals and labels. Synthetic benchmark results are not material-life validation.
P025	IDRE	P025 IDRE v0.1 — Identification-Driven Decision Robustness Envelope	CURRENT_DELTA	DFDPE derivative-free persistence identification -> DTRM finite-horizon decision envelope.	UNEXTRACTED	True	True	False	False	"DFDPE derivative-free persistence identification -> DTRM finite-horizon decision envelope.

IDRE estimates the scalar affine persistence rate from noisy observations, maps it exactly into the same-input trajectory-error dynamics, and evaluates both the point estimate and `a + z*SE(a)`. Identification uncertainty can therefore revoke a decision certificate instead of disappearing between system identification and downstream robustness analysis."	Synthetic scalar-affine mechanism benchmark. The mapping is valid only when the identified shell, shared-input error dynamics, declared disturbance bound, nominal gap, and horizon are appropriate. No real-system robustness claim is made.
P026	DBTE	P026 DBTE v0.1 — Deployable Bottleneck Tipping Explorer	CURRENT_DELTA	CDBL deadline-aware deployability LP -> TDSX capacity tipping surface.	UNEXTRACTED	True	True	False	False	"CDBL deadline-aware deployability LP -> TDSX capacity tipping surface.

DBTE asks which capacity change actually moves delivered resource across a declared target after topology, lead-time, yield, active-stock, and deadline constraints. It therefore distinguishes nominal capacity expansion from expansion of the true deployable bottleneck."	Synthetic network benchmark. The tipping point is conditional on the declared network, horizon, grid, active stock, edge capacities, lead times and conversion yields. It is not a general supply-chain capacity estimate.
P027	IDAC	P027 IDAC v0.1 — Integral Deployability Audit Certificate	CURRENT_DELTA	CDBL continuous time-expanded deployment LP -> RIC exact total-unimodularity/integrality audit.	UNEXTRACTED	True	True	False	False	"CDBL continuous time-expanded deployment LP -> RIC exact total-unimodularity/integrality audit.

IDAC determines when a continuous deployment result can be interpreted as a discrete-unit optimum without silently rounding. It reconstructs CDBL's LP shell, checks total unimodularity and integer right-hand sides, and separately reports the observed LP/integer comparison."	Exact TU enumeration is intentionally limited to small matrices. Failure to obtain a TU certificate is not proof that every optimum is fractional, and an integral solution in one instance is not a structural integrality theorem.
