kernel_id	class_name	base_name	origin	core_v2_role	evidence_state	adoption_state	production_ready	retro50_products	retro50_relation_type	retro50_confidence	retro50_note
LCB-K001	ClosureFinderV0	ClosureFinder	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	BENCHMARKED_WITH_NARROW_OR_LOSING_SHELL	ADOPT_CAPABILITY_WITH_ROUTER_REQUIRED	False	R042 PSCT; R024 BRED	COMPLEMENT	HIGH	observable/state closure before reduction or prediction
LCB-K002	CycleFlowAnalyzerV0	CycleFlowAnalyzer	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	PROTOTYPE_ONLY_OR_PENDING	ADOPT_TO_CANDIDATE_REGISTRY_NOT_DEPLOYMENT	False	R002 HFAD	LIGHTWEIGHT_FALLBACK	HIGH	HFAD adds local-face versus global-harmonic resolution
LCB-K003	SharedCapacityAllocatorV0	SharedCapacityAllocator	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K004	TruncatedPoolRankV0	TruncatedPoolRank	r49_executable_library	HELPER_IMPLEMENTATION	EXECUTABLE_PROTOTYPE_PROVENANCE_LINK_INCOMPLETE	ADOPT_AS_INTERNAL_HELPER	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K005	DiscrepancyRandomizerV0	DiscrepancyRandomizer	r49_executable_library	CAPABILITY_COMPONENT	EXECUTABLE_PROTOTYPE_PROVENANCE_LINK_INCOMPLETE	ADOPT_TO_CANDIDATE_REGISTRY_NOT_DEPLOYMENT	False	R050 CBAC	COMPLEMENT	HIGH	balanced experimental assignment and design-law inference
LCB-K006	DeepTailScannerV0	DeepTailScanner	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	EXECUTABLE_PROTOTYPE_PROVENANCE_LINK_INCOMPLETE	ADOPT_TO_CANDIDATE_REGISTRY_NOT_DEPLOYMENT	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K007	ObservationTimingSensorV0	ObservationTimingSensor	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K008	DecisionFluctuationGuardV0	DecisionFluctuationGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R007 BICC; R028 TDSX; R044 DLEW	SUITE_COMPLEMENT	MEDIUM	decision fragility and model-risk stack
LCB-K009	ConstraintPressureMonitorV0	ConstraintPressureMonitor	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K010	CoverageFeedbackControllerV0	CoverageFeedbackController	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K011	MemoryKernelClosureV0	MemoryKernelClosure	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R024 BRED; R042 PSCT	COMPLEMENT	HIGH	memory/state discovery before reduction
LCB-K012	PolicyAwareTimingSensorV0	PolicyAwareTimingSensor	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K013	RepairDebtMonitorV0	RepairDebtMonitor	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K014	PersistenceAwareTransientRiskV0	PersistenceAwareTransientRisk	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K015	VarianceAwareCapacityPlannerV0	VarianceAwareCapacityPlanner	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K016	BoundaryAccessibilityRankerV0	BoundaryAccessibilityRanker	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K017	SupportFunctionActiveSensingV0	SupportFunctionActiveSensing	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
